term,tfidf,chi,status
government,0.010123733730580809,632.7416170289318,selected
user,0.004726544341213962,616.2867092740503,selected
minister,0.007993156697303171,610.2622920831872,selected
technology,0.005561006775700587,608.6529237570511,selected
election,0.007370381327031871,599.1903364331785,selected
party,0.007154438541498066,594.1668396053003,selected
film,0.009633087533325684,562.2061571760948,selected
computer,0.004699387537990562,544.2224392118839,selected
tory,0.003970279634408788,535.6090164353415,selected
secretary,0.00433604582922703,519.2324895972744,selected
star,0.0074834853003178,514.2685214950338,selected
firm,0.00985574923968788,482.23352743990483,selected
company,0.010819852912008656,479.4687788030333,selected
game,0.010583715608657973,477.4292385106539,selected
market,0.009019854244202001,473.84211028204135,selected
NUM MONEY,0.008041430085603997,470.44871092297683,selected
player,0.008761201797566202,468.0138893167241,selected
general election,0.003152586068147847,461.270187776073,selected
coach,0.0047986713960414245,457.9898816337686,selected
online,0.004148492828344538,445.75245778339286,selected
match,0.006502686245359455,442.71455633935886,selected
liberal,0.0026931951641475326,440.32052077216827,selected
software,0.0033301757068635225,434.7669662507542,selected
tories,0.0034413523920239384,433.366021443527,selected
MONEY,0.01722249057019908,421.2356748568009,selected
pc,0.0033110913843796912,421.1384389757298,selected
MONEY NUM,0.017113420598639215,417.43314836745907,selected
analyst,0.0058558049684528015,417.2725948957124,selected
win,0.01319652688940024,417.19291617898944,selected
leader,0.005347511109988734,407.92935194825276,selected
secretary PERSON,0.0030066035149742872,406.1624848746532,selected
prime minister,0.004402966650007972,403.20230307964283,selected
digital,0.00373232115198077,397.74765552539316,selected
people,0.012826719066325216,396.7895708888876,selected
prime,0.004496250191938919,388.22303810780267,selected
use,0.011467010214689528,387.93392848577207,selected
cup,0.00473910153423507,384.08824086508713,selected
labour,0.004780410925948978,375.17730556816633,selected
star PERSON,0.0037527364818781966,374.2008542396027,selected
music,0.006778000057571032,373.3911364304134,selected
singer,0.0034019259226360956,370.2138096605284,selected
video,0.004099584491036868,369.9237098900964,selected
coach PERSON,0.003539715656914032,364.0488657922162,selected
actor,0.003612477169122697,363.7364179491329,selected
award,0.006568962269487312,362.36278399591765,selected
injury,0.005504688888395986,361.1459002319937,selected
growth,0.006273121965987824,348.4601208349228,selected
mp,0.0030240123084633685,345.9878069958419,selected
play,0.011902241659009147,337.7438976747508,selected
device,0.0027377879475457326,332.1824102401795,selected
